Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,market_cap,total_volume
1.53706E+12,16-09-18,ETHUSDT,221.62,223.5,208.1,220.17,425538.5771,92372399.96,130886,,
1.53697E+12,15-09-18,ETHUSDT,208.55,227.42,207.64,221.29,441046.5293,96594593.56,125321,,
1.53688E+12,14-09-18,ETHUSDT,210.91,224.2,202.6,208.82,833945.8257,177613712.1,249947,,
1.5368E+12,13-09-18,ETHUSDT,183.17,215,183.15,210.68,739503.3405,147281547.2,222128,,
1.53671E+12,12-09-18,ETHUSDT,185.14,185.22,167.32,183.12,504047.7917,88384821.01,150831,,
1.53662E+12,11-09-18,ETHUSDT,197.22,200.2,176.16,185.18,476745.7922,89920137.2,163958,,
1.53654E+12,10-09-18,ETHUSDT,196.13,203.42,187.1,197.15,418489.8666,81950595.02,146713,,
1.53645E+12,09-09-18,ETHUSDT,196.87,208.6,185.02,195.81,429255.0259,84861381.28,144803,,
1.53636E+12,08-09-18,ETHUSDT,215.19,220.2,190.01,196.71,318859.849,65385376.79,111890,,
1.53628E+12,07-09-18,ETHUSDT,229.73,234.69,213.5,215.22,398379.8174,88670418.82,162430,,
1.53619E+12,06-09-18,ETHUSDT,228.28,233.19,212,229.7,552996.8657,124860778.4,241166,,
1.53611E+12,05-09-18,ETHUSDT,285.18,287.62,227,228.53,528734.3196,136620124,218243,,
1.53602E+12,04-09-18,ETHUSDT,289.09,292.64,283,285.3,330102.19,94920949.99,128936,,
1.53593E+12,03-09-18,ETHUSDT,295.51,296.62,285.99,289.09,274753.7006,79640131.71,115284,,
1.53585E+12,02-09-18,ETHUSDT,295.8,299.33,288.87,295.41,153300.0611,45141040.56,76484,,
1.53576E+12,01-09-18,ETHUSDT,281.46,302,281.34,295.71,294944.4401,86146416.37,134032,,
1.53567E+12,31-08-18,ETHUSDT,283.9,289,276.59,281.41,302663.3704,84967488.71,124162,,
1.53559E+12,30-08-18,ETHUSDT,288.35,291,271.88,283.89,336993.1441,94748097.37,149454,,
1.5355E+12,29-08-18,ETHUSDT,295.44,297,283.55,288.4,324275.4732,94515756.42,141609,,
1.53541E+12,28-08-18,ETHUSDT,287.71,298,282.66,295.44,318323.2897,91895213.46,171500,,
1.53533E+12,27-08-18,ETHUSDT,274.17,288.15,271.59,287.71,281020.6473,77863316,134261,,
1.53524E+12,26-08-18,ETHUSDT,277.54,277.91,268.69,274.29,232525.9497,63548492.84,113465,,
